Companyname,diASXcode,industry group name,sector name,listing date,registry address,phone number,principal activities,market cap,number of shares,bid price,website,roles,full name
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Chairman;Non Exec. Director;Independent Director,Mr John Pizzey
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Managing Director;CEO,Mr Mike Ferraro
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Non Exec. Director;Independent Director,Mr Peter Day
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Non Exec. Director;Independent Director,Ms Deborah Mary O'Toole
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Non Exec. Director;Independent Director,Ms Emma Rachel Stein
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Non Exec. Director,Mr Chen Zeng
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,CFO,Mr Chris Thiris
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,General Counsel,Mr Stephen Craig Foster
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Investor Relations,Mr Charles Smitheram
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Company Secretary,Mr Stephen Craig Foster
